localhost (centos7.6.1810)
==========================
Total: 136 (High:19 Medium:93 Low:24 ?:0), 27/136 Fixed, 1144 installed, 115 updatable, 1 exploits, en: 0, ja: 0 alerts

+------------------+---------+------+------+----+------+---------------------------------------------------+
|      CVE-ID      |  FIXED  | CERT | CVSS | AV | POC  |                        NVD                        |
| CVE-2018-15856   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15856   |
| CVE-2018-15859   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15859   |
| CVE-2018-15861   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15861   |
| CVE-2018-15862   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15862   |
| CVE-2018-15863   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15863   |
| CVE-2018-15864   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15864   |
| CVE-2018-16062   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16062   |
| CVE-2018-16403   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16403   |
| CVE-2018-16885   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16885   |
| CVE-2018-18310   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18310   |
| CVE-2018-18384   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18384   |
| CVE-2018-18521   | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-18521   |
| CVE-2018-8087    | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8087    |
| CVE-2019-11833   | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-11833   |
| CVE-2019-3880    | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3880    |
| CVE-2019-3882    | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3882    |
| CVE-2019-7150    | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7150    |
| CVE-2019-7222    | unfixed |      |  5.5 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7222    |
| CVE-2019-7664    | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7664    |
| CVE-2019-7665    | unfixed |      |  5.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-7665    |
| CVE-2016-10739   | unfixed |      |  5.3 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-10739   |
| CVE-2017-17742   | unfixed |      |  5.3 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-17742   |
| CVE-2018-15473   | unfixed |      |  5.3 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-15473   |
| CVE-2019-0220    | unfixed |      |  5.3 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-0220    |
| CVE-2018-0495    | unfixed |      |  5.1 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-0495    |
| CVE-2018-5407    | unfixed |      |  4.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5407    |
| CVE-2018-16888   | unfixed |      |  4.7 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16888   |
| CVE-2018-16866   | unfixed |      |  4.3 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-16866   |
| CVE-2018-13053   | unfixed |      |  3.3 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-13053   |
+------------------+---------+------+------+----+------+---------------------------------------------------+


